id,year,keywords,_year,_authors,_inventory_number,_title
KMS3742,1880,"canvas,oil",1892,Laurits Andersen Ring,KMS3742,"Springtime in Hals, Jutland"
KMS3735,1720,"canvas,oil",1726,Jean-Baptiste Oudry,KMS3735,Hounds with Wild-Fowl and Game
KMS6657,1900,"canvas,oil",1902,Vilhelm Hammershøi,KMS6657,"The Buildings of the Asiatic Company, seen from St. Annæ Street, Copenhagen"
KMS3947,1820,"canvas,paper,oil",1839,Christen Købke,KMS3947,The Gulf of Naples with Vesuvius in the Background
KMS838,1820,"canvas,oil,landscape art",1824,Johan Christian Dahl,KMS838,The Etsch Valley near Roveredo
KMS1346,1800,"canvas,oil,architectural painting",1815,Christoffer Wilhelm Eckersberg,KMS1346,Udsigt over Tiberen fra Trastevere mod Engelsborg og Ponte San Angelo
KMSsp728,1520,"wood,oil",1529,Lucas Cranach the Elder,KMSsp728,The Stag Hunt of the Elector Frederic the Wise (1463-1525) of Saxony
KMS1597,1720,"canvas,oil",1734,Balthasar Denner,KMS1597,King Christian VI
KMS1745,1820,"canvas,paper,oil",1837,Christen Købke,KMS1745,View of Copenhagen Seen from Dosseringen
KMS1230,1880,"canvas,oil",1882,Otto Sinding,KMS1230,Spring Day in Lofoten
KMS863,1860,"canvas,oil",1868,Heinrich Hansen,KMS863,Udsigt fra Gammel Strand mod Christiansborg
KMS617,1640,"canvas,oil,portrait",1645,Abraham Wuchters,KMS617,"Ulrik Christian Gyldenløve (1630-1658), son of Christian IV and Vibeke Kruse"
KMS3752a,1920,"canvas,oil",1925,Laurits Tuxen,KMS3752a,The Artist’s Daughter in Fancy Dress
KMS546,1840,"wood,oil",1848,Johan Laurentz Jensen,KMS546,En kårde med laurbærkrans
KMS3692,1880,"canvas,oil",1895,Hans Smidth,KMS3692,Nørre Vium Kirke. Optrækkende uvejr
KMS1636,1620,"wood,oil,tronie",1630,Rembrandt,KMS1636,Study of an Old Man in Profile
KMS3782,1560,"canvas,oil,portrait",1570,Titian,KMS3782,Portrait of Willibald Imhoff
KMS3899,1880,"canvas,oil",1895,Fritz Syberg,KMS3899,Snow-Covered Highroad in the Sunshine
KMS3451,1880,"canvas,oil",1894,Hans Gude,KMS3451,The Troll Peaks in Romsdalen: The Foot of Romsdalshorn to the Right
KMSsp857,1760,"canvas,oil",1761,Peter Cramer,KMSsp857,Drengene om vællingen
KMS184,1480,"wood,oil,portrait",1493,Jan Gossaert,KMS184,Portrait of a Man
KMS4231,1880,"canvas,oil",1896,Niels Skovgaard,KMS4231,Dragtstudier. Megara
KMS741,1840,"canvas,oil",1856,Emanuel Larsen,KMS741,"Linieskibet ""Valdemar"" krydser Sundet ind for en frisk bramsejlskuling"
KMS8289,1880,"canvas,oil",1884,Anna Petersen,KMS8289,Breton Girl Looking After Plants in the Hothouse
KMSsp456,1640,"canvas,oil",1651,Gerrit Dou,KMSsp456,An Old Woman
KMS227,1820,"canvas,oil,still life",1832,Christine Løvmand,KMS227,A Basket of Fruit in a Landscape
KMS1038,1840,"canvas,oil",1847,Fritz Thomsen,KMS1038,Rubini
KMSsp305,1680,"canvas,oil",1680,Arnold Houbraken,KMSsp305,The Wedding of Alexander and Roxana (?)
KMS522,1840,"canvas,oil",1846,Carl Dahl,KMS522,Fregat i en storm med rebede undersejl
KMSsp609,1660,"canvas,oil",1670,Jacob Biltius,KMSsp609,Dead Birds
KMS4602,1820,"canvas,oil",1836,Johan Lundbye,KMS4602,"Oberstinde Cathrine Lundbye, f. Bonnevie, kunstnerens moder"
KMS1178,1600,"canvas,oil",1604,Pieter Isaacsz,KMS1178,A Bathhouse
KMSsp726,1520,"wood,oil,portrait",1533,Lucas Cranach the Elder,KMSsp726,Portrait of the Electress Sibyl of Saxony (1510-1569)
KMS8078,1880,"canvas,textile,oil,genre art",1885,Laurits Andersen Ring,KMS8078,Drain Diggers
KMS3076,1660,"canvas,oil",1670,Cornelis Norbertus Gysbrechts,KMS3076,Trompe l'Oeil. A Cabinet of Curiosities with an Ivory Tankard
KMS3061,1640,"canvas,oil",1655,Jacques Courtois,KMS3061,Hold-Up
KMSsp585,1640,"wood,oil",1650,Jan Steen,KMSsp585,The Miser
KMSsp504,1660,"canvas,oil",1660,Pieter Wouwerman,KMSsp504,View of Paris seen from the Place Dauphine
KMS1051,1840,"canvas,oil",1853,Fritz Thomsen,KMS1051,Reveller Mare
KMS6247,1740,"canvas,oil,portrait",1756,Johan Hörner,KMS6247,Portrait of Carl Christian Laurentius Birch
KMS3294,1880,"canvas,oil,landscape art",1887,Albert Gottschalk,KMS3294,Winter Landscape. Utterslev near Copenhagen
KMS1562,1880,"canvas,oil",1898,Valdemar Irminger,KMS1562,The Children Saying Good Night to their Stars
KMS729,1840,"canvas,oil",1854,Godtfred Rump,KMS729,Udsigt over skærgården ved Elleholm i Blekinge
KMS4201,1740,"canvas,oil",1753,Giovanni Battista Tiepolo,KMS4201,Latinus Offering his Daughter Lavinia to Aeneas in Matrimony
KMSsp629,1680,"canvas,oil,landscape art",1693,Johannes Glauber,KMSsp629,Classical Landscape with Diana (?) and her Nymphs
KMSsp239,1620,"canvas,oil,portrait",1627,Anthony van Dyck,KMSsp239,King Charles I of England
KMS3766,1880,"canvas,oil,nude,female nude",1889,Vilhelm Hammershøi,KMS3766,Seated Female Nude
KMS349a,1780,"canvas,oil",1780,Jens Juel,KMS349a,Geheimeråd Henrik Hielmstierne
KMSsp92,1620,"canvas,oil,genre art",1620,Theodoor Rombouts,KMSsp92,Card and Backgammon Players. Fight over Cards
KMS3146,1880,"canvas,oil,genre art",1898,Laurits Andersen Ring,KMS3146,Small-Holders. Sealand
KMS1663,1820,"canvas,oil,marine art",1827,Christoffer Wilhelm Eckersberg,KMS1663,Two Russian Ships of the Line Saluting
KMS720,1800,"canvas,oil,architectural painting",1815,Christoffer Wilhelm Eckersberg,KMS720,A Building near Tor di Quinto outside Rome
KMSsp853,1740,"canvas,oil,portrait",1757,Carl Gustaf Pilo,KMSsp853,"Portrait of Mahmud Agas, Ambassador of Tripolis"
KMS4284,1880,"canvas,oil",1893,Fridolin Johansen,KMS4284,"A church Service in the Island of Mors, Jutland"
KMS349,1760,"canvas,oil",1776,Jens Juel,KMS349,Generalpostdirektør Frederik Hauch som ung
KMS3696,1900,"canvas,oil",1901,Vilhelm Hammershøi,KMS3696,"Interior in Strandgade, Sunlight on the Floor"
KMS367,1820,"canvas,oil,battle painting",1839,Christian Frederik Carl Holm,KMS367,Daniel Rantzau bemægtiger sig Tureby Bro i Skåne under Syvårskrigen 1563-1570
KMS1903,1700,"canvas,oil",1704,Benoît Le Coffre,KMS1903,En samling tyrkiske mænd
KMS965,1840,"canvas,oil,genre art",1856,Christen Dalsgaard,KMS965,Mormons Visiting a Country Carpenter
KMSsp161,1520,"wood,oil,portrait",1523,Jan Mostaert,KMSsp161,"Jacoba of Bavaria, Countess of Holland and Zeeland"
KMS364,1820,"canvas,oil",1837,Jørgen Sonne,KMS364,Romerske landfolk drager til marked
KMS6322,1900,"canvas,oil,still life",1910,Karl Isakson,KMS6322,Still Life with Blue Bowl and Fruits
KMS4945,1760,"canvas,oil,portrait",1766,Pompeo Batoni,KMS4945,"Peter Beckford (1740-1811), godsejer, Dorset."
KMS1071,1860,"canvas,oil",1874,Vilhelm Kyhn,KMS1071,"Late Evening near Himmelbjerget, Jutland"
KMS4144,1920,"canvas,oil",1930,Marius Hammann,KMS4144,Evening Talk
KMS3593,1900,"canvas,oil,female nude",1919,Karl Isakson,KMS3593,Standing Female Nude
KMS3356,1780,"canvas,oil",1796,Nicolai Abildgaard,KMS3356,King Priam Pleading with Achilles for the Corpse of Hector
KMS595,1780,"canvas,oil",1785,Nicolai Abildgaard,KMS595,"The Triumph of a Potuan, whose Reform Proposal has been Approved"
KMSsp355,1620,"canvas,oil",1623,Bartholomeus van Bassen,KMSsp355,Square in front of a Magnificent Church
KMS3136,1820,"canvas,oil",1832,Christen Købke,KMS3136,"Ida Thiele, the future Mrs Wilde, as a Child"
KMSsp384,1620,"canvas,oil,portrait",1622,Cornelis van der Voort,KMSsp384,Portrait of a 22-Year-Old Woman
KMSsp466,1620,"canvas,oil",1633,Hans Jordaens,KMSsp466,Fight with Amazons
KMS4079,1880,"paper,canvas,oil",1890,Joakim Skovgaard,KMS4079,Skitse til Dragespringvandet
KMS618,1840,"canvas,oil",1853,Wilhelm Marstrand,KMS618,"Church-Goers Arriving by Boat at the Parish Church of Leksand on Siljan Lake, Sweden"
KMS538,1840,"canvas,oil",1848,Jens Peter Møller,KMS538,Kysten ved Vordingborg med Gåsetårnet en tidlig morgen
KMS1029,1680,"canvas,oil",1698,Franz Werner Tamm,KMS1029,Flower Piece
KMS250,1660,"canvas,oil",1676,Hendrik Schoock,KMS250,Flowers
KMSsp233,1640,"canvas,oil,mythological painting",1649,Jacob Jordaens,KMSsp233,Achelous Defeated by Hercules. The Origin of the Cornucopia. (Allegory of Fruitfulness)
KMS1564,1880,"canvas,oil,genre art",1898,Laurits Andersen Ring,KMS1564,A Child Visiting his Grandparents on a Sunday
KMSst576,1660,"canvas,oil",1664,Jacob Biltius,KMSst576,Wildfowl on a Wooden Table
KMS1806,1880,"canvas,oil,portrait,self-portrait,group portrait",1883,Anna Ancher,KMS1806,Appraising the Day's Work
KMS3066,1660,"canvas,oil",1672,Cornelis Norbertus Gysbrechts,KMS3066,Trompe l'Oeil with Riding Whip and Letter Bag
KMS1384,1640,"canvas,oil,tronie",1659,Rembrandt,KMS1384,Man in plumed beret
KMS792,1800,"canvas,oil",1810,Heinrich August Grosch,KMS792,"Sjællandsk landskab, aften"
KMS8611,1880,"textile,oil",1892,Gad Frederik Clement,KMS8611,Village in Brittany
KMS3245,1880,"canvas,oil",1881,Hans Nikolaj Hansen,KMS3245,Women on the Moor
KMS192,1820,"canvas,oil",1824,Heinrich Buntzen,KMS192,Et skovparti i Charlottenlund. Aften
KMS1979,1600,"canvas,oil,portrait",1600,El Greco,KMS1979,Portrait of a Man
KMSsp467,1640,"canvas,oil,tronie",1650,Rembrandt,KMSsp467,Young Man in a Pearl-trimmed Cap
OPC 4,1880,genre art,1885,Laurits Andersen Ring,OPC 4,Harvest
KMS1118,1860,"canvas,oil",1875,Vilhelm Kyhn,KMS1118,A Winter's Evening by a Danish Fiord
KMS1454,1880,"canvas,oil,genre art",1892,Erik Henningsen,KMS1454,Evicted Tenants
KMS1148,1760,"canvas,oil,portrait",1765,Louis-Michel van Loo,KMS1148,Louis XV of France (1710-1774)
KMS1452,1880,"canvas,oil",1891,Wenzel Tornøe,KMS1452,At the China Repairer's
KMS3468,1800,"canvas,oil,history painting",1807,Christian August Lorentzen,KMS3468,The Most Terrible Night. View of Kongens Nytorv in Copenhagen During the English Bombardement of Copenhagen at Night between 4 and 5 September 1807
KMS889,1860,"canvas,oil,portrait",1861,Poul Hagelstein,KMS889,Christian II
KMS1775,1820,"canvas,oil,portrait",1823,Christoffer Wilhelm Eckersberg,KMS1775,Suzanne Juel. The Artist's Sister-in-Law and later to Become his Third Wife
KMS446,1840,"canvas,oil",1844,Johan Lundbye,KMS446,"A Cowshed on a Farm at Vejby, Zealand"
KMS42,1820,"canvas,oil",1822,Jørgen Sonne,KMS42,Slaget ved Sehested
KMS1760,1800,"canvas,oil,portrait",1809,Christoffer Wilhelm Eckersberg,KMS1760,"Christine Rebekka Eckersberg, f. Hyssing, kunstnerens første hustru"
KMS388,1640,"canvas,oil,portrait",1656,Willem Drost,KMS388,Young Woman with a Carnation
KMS1243,1820,"canvas,oil paint",1820,Christian David Gebauer,KMS1243,Heste i skovegn
KMS1773,1800,"wood,oil,portrait",1807,Christoffer Wilhelm Eckersberg,KMS1773,"Maleren Jens Juels søn, Jens"
KMS3073,1660,"canvas,oil",1672,Franciscus Gijsbrechts,KMS3073,Board Partition with Musical Instruments. Trompe l'oeil
KMS1439,1880,"canvas,oil",1890,Hans Michael Therkildsen,KMS1439,En ko løs
KMSsp720,1520,"wood,oil,portrait",1532,Lucas Cranach the Elder,KMSsp720,Portrait of Martin Luther
KMS1224,1880,"canvas,oil",1882,Thorald Brendstrup,KMS1224,Outside Ariccia
KMS721,1800,"canvas,oil,architectural painting",1816,Christoffer Wilhelm Eckersberg,KMS721,The Cloisters of the Franciscan Monastery Santa Maria in Aracoeli in Rome
KMSsp722,1520,"wood,oil",1532,Lucas Cranach the Elder,KMSsp722,Melancholy
KMS3871,1920,"canvas,oil",1920,Harald Giersing,KMS3871,Road near Fåborg on Funen
KMS3165,1820,"canvas,oil,portrait",1834,Christen Købke,KMS3165,Portrait of the Animal Painter Christian Holm
KMSsp712,1500,"wood,oil,religious art",1506,Lucas Cranach the Elder,KMSsp712,The Crucifixion
KMS1310,1800,"canvas,oil,architectural painting",1814,Christoffer Wilhelm Eckersberg,KMS1310,View of the Garden of the Villa Borghese in Rome
KMS1763,1800,"canvas,oil,portrait",1817,Christoffer Wilhelm Eckersberg,KMS1763,"Julie Eckersberg, née Juel, the Artist's Second Wife"
KMS3132,1880,"canvas,oil",1884,O.A. Hermansen,KMS3132,Et frokostbord
KMSsp35,1740,"canvas,oil,religious art",1748,Agostino Masucci,KMSsp35,The Annunciation
KMS2073,1880,"canvas,oil,genre art",1888,Harald Slott-Møller,KMS2073,The Poor: The Waiting Room of Death
KMSsp608,1660,"canvas,oil",1670,Jacob Biltius,KMSsp608,A Dead Hare
KMS8395,1900,"canvas,oil",1919,Ivar Rosenberg,KMS8395,The Heavenly Wedding. Emmanuel Sweborg: Amore Conjugiali
KMS4614,1900,"canvas,oil,landscape art",1905,Albert Gottschalk,KMS4614,Aftenlandskab. Tisvilde
KMS6703,1620,"wood,oil,portrait",1631,Thomas de Keyser,KMS6703,Portrait of a Young Woman
KMS7379,1800,"canvas,oil",1806,Christoffer Wilhelm Eckersberg,KMS7379,Alexander den Store på sygelejet
KMS3655,1920,"canvas,oil,religious art",1923,Ludvig Karsten,KMS3655,Calvary
KMS524,1840,"canvas,oil",1845,Thorald Læssøe,KMS524,View of the Terme di Caracalla in Rome
KMShm9,1840,"textile,canvas,oil,portrait,self-portrait",1857,Camille Pissarro,KMShm9,Self-Portrait
KMS1718,1860,"canvas,oil",1865,P. C. Skovgaard,KMS1718,Parken ved Nysø. Til venstre Thorvaldsens atelier
KMSsp33,1720,"canvas,oil,landscape art",1724,Andrea Locatelli,KMSsp33,Arcadian Landscape
KMS593,1780,"canvas,oil",1785,Nicolai Abildgaard,KMS593,Niels Klim thinks he hears the Deacon when he is awakened by a Bull
KMS1116,1820,"canvas,oil,marine art",1839,Christoffer Wilhelm Eckersberg,KMS1116,"The Corvette ""Galathea"" in a Storm in the North Sea"
KMS7983,1620,"canvas,oil,portrait",1635,Nicolaes Eliaszoon Pickenoy,KMS7983,Portrait of a Man
KMSsp656,1660,"canvas,oil",1677,Jan Karel Donatus van Beecq,KMSsp656,English Warships in a Roadstead in Calm Weather
KMSsp344,1600,"canvas,oil,mythological painting",1607,Abraham Janssens I,KMSsp344,Hercules Kicking Faunus out of Omfale's Bed
KMS1487,1880,"canvas,oil",1893,Viggo Johansen,KMS1487,"Geese by a Lake. A Storm is Brewing. Dragør, the Island of Amager"
KMS7609,1820,"canvas,oil paint,portrait",1834,Frederik Sødring,KMS7609,Young Woman Sitting in a Norwegian Landscape
KMS70,1800,"canvas,oil,mythological painting",1809,Johan Ludwig Lund,KMS70,Pyrrhus and Andromache at Hector's Tomb
KMS4531,1820,"canvas,oil,portrait",1834,Christen Købke,KMS4531,Portrait of the Naval Lieutenant D. Christen Schifter Feilberg
KMS1468,1880,"canvas,oil",1893,H. A. Brendekilde,KMS1468,People by a Road
KMS3893,1740,"wood,oil",1750,Nicolas Lancret,KMS3893,Children at Play in the Open
KMS4287,1840,"canvas,oil",1858,Vilhelm Kyhn,KMS4287,I lysthuset
KMS318,1620,"wood,oil",1632,Willem Cornelisz Duyster,KMS318,"A Seated Woman with a Letter, a Gentleman Standing by Her"
KMS8240,1880,"canvas,oil",1892,Gad Frederik Clement,KMS8240,Bretonsk landskab med hvilende pige
KMS1762,1820,"canvas,oil",1832,Christian Albrecht Jensen,KMS1762,The Painter C.W. Eckersberg
KMS8627,1860,"canvas,oil",1866,Ludvig Abelin Schou,KMS8627,Ung italiensk mandsfigur i klippelandskab
KMS3236,1820,"canvas,oil,group portrait",1837,Constantin Hansen,KMS3236,A Group of Danish Artists in Rome
KMS2012,1880,"canvas,oil,religious art",1886,Carl Bloch,KMS2012,Descent from the Cross
KMS3108,1860,"canvas,oil,genre art",1879,Peder Severin Krøyer,KMS3108,Et sardineri i Concarneau
KMS1316,1880,"canvas,oil",1888,Erik Henningsen,KMS1316,Changing of the Guard
KMS69,1800,"canvas,oil,religious art",1815,Christoffer Wilhelm Eckersberg,KMS69,The Israelites Resting after the Crossing of the Red Sea
KMSsp378,1620,"canvas,oil",1623,Gerard van Honthorst,KMSsp378,Musical Group by Candlelight
KMS1,1580,"canvas,oil,mythological painting",1588,Cornelis van Haarlem,KMS1,The Fall of the Titans
KMSsp146,1560,"canvas,oil,portrait",1570,El Greco,KMSsp146,Portrait of a Man
KMSsp872,1760,"canvas,oil",1767,Jens Juel,KMSsp872,Hyænen i menageriet ved Frederiksberg Slot
KMS4571,1820,"canvas,oil",1837,Johan Lundbye,KMS4571,The Painter Thorald Læssøe
KMS285,1820,"canvas,oil,still life",1834,Johan Laurentz Jensen,KMS285,Flowers in a Vase
KMS7452,1820,"canvas,oil,landscape art",1825,Martinus Rørbye,KMS7452,View from the Artist's Window
KMS1557,1820,"canvas,oil,portrait",1836,Christian Albrecht Jensen,KMS1557,The Scene-Painter Troels Lund
KMSsp217,1580,"wood,oil,landscape art",1580,Hans Bol,KMSsp217,Landscape with a View of Antwerp
KMS4285,1760,"canvas,oil,portrait",1777,Jens Juel,KMS4285,Kobberstikkeren J.F. Clemens
KMS2040,1740,"canvas,oil,portrait",1753,Johann Georg Ziesenis,KMS2040,"Portrait of the Artist's Daughter Elisabeth, Married Lampe"
KMS7455,1800,"canvas,oil,mythological painting",1803,Johan Ludwig Lund,KMS7455,Andromache in Despair at the Sight of Hector's Body
KMSsp356,1620,"canvas,oil",1631,Adam Camerarius,KMSsp356,Boas and Ruth
KMSr38,1900,"canvas,oil",1913,Henri Doucet,KMSr38,The Road to Nimes
KMS4131,1760,"canvas,oil,portrait",1768,Peder Als,KMS4131,"Portrait of Countess Eleonora Agnes Scheel, neé Raben"
KMS6693,1880,"canvas,oil,portrait",1896,Vilhelm Hammershøi,KMS6693,"Portræt af fru Thora Bendix (Anne Victoria, f. Sundberg)"
KMS3772,1840,"canvas,oil",1858,P. C. Skovgaard,KMS3772,Bleaching Linen in a Clearing
KMS7956,1640,"canvas,oil paint",1647,Karel van Mander III,KMS7956,A Moor Wearing a Turban and Armour
KMS415,1840,"canvas,oil,landscape art",1843,Dankvart Dreyer,KMS415,"Landscape near Hammermøllen, North Zealand"
KMSst217,1680,"canvas,oil",1690,Elias van den Broeck,KMSst217,A Bowl of Flowers
KMSst119,1620,"canvas,oil",1634,Floris van Schooten,KMSst119,Fruit Basket
KMS1107,1860,"canvas,oil",1878,Harald Jerichau,KMS1107,"The Lydian Plain near Sardis, Asia Minor (Turkey)"
KMS6260,1680,"canvas,oil,still life,Memento mori",1690,Felice Boselli,KMS6260,Skinned Head of a Young Bull
KMS7593,1780,"canvas,oil",1794,Nicolai Abildgaard,KMS7593,Ismene and Antogone Plead with Theseus
KMS1996,1820,"canvas,oil,portrait",1822,Johan Anton Bech,KMS1996,Barneportræt
KMS590,1800,"canvas,oil",1804,Nicolai Abildgaard,KMS590,The Slave Davus and the Maid Mysis. From Terence´s Andria.
KMS1671,1820,"canvas,oil,marine art",1826,Christoffer Wilhelm Eckersberg,KMS1671,A Russian Fleet at Anchor near Elsinore
KMS737,1840,"canvas,oil",1855,Julius Exner,KMS737,"A Country Dance in the Hedebo District, Zealand"
KMS832,1860,"canvas,oil",1863,Vilhelm Kyhn,KMS832,After Sunset in the Outskirts of a Village
KMS1319,1880,"canvas,oil,religious art",1887,Julius Paulsen,KMS1319,Adam and Eve
KMS4102,1880,"canvas,oil",1887,Laurits Andersen Ring,KMS4102,Evening. Death and the Old Woman
KMS1433,1880,"canvas,oil,genre art",1891,Anna Ancher,KMS1433,A Funeral
KMS1991,1880,"canvas,oil",1889,Christian Krohg,KMS1991,In the Tub
KMS589,1800,"canvas,oil",1801,Nicolai Abildgaard,KMS589,The Midwife Taking Leave of the girl from Andros. From Terence´s Andria
KMS3405,1860,"wood,oil",1860,David Jacobsen,KMS3405,Pont Royal in Paris. Sketch
KMS3493,1820,"canvas,oil,portrait",1834,Christian Albrecht Jensen,KMS3493,Barneportræt
KMS1717,1880,"canvas,oil,landscape art",1898,Laurits Andersen Ring,KMS1717,"A Road near Vinderød, Zealand"
KMS6699,1840,"canvas,oil,portrait",1849,Elisabeth Jerichau-Baumann,KMS6699,Portræt af Holger Aagaard Hammerich som 4-årig
KMS3800,1880,"canvas,oil",1894,Peter Hansen,KMS3800,A Field of Waving Rye
KMS145,1820,"canvas,oil",1820,Fritz Petzholdt,KMS145,"A Bog with Peat Cutters. Høsterkøb, North Zealand"
KMS1435,1880,"canvas,oil,genre art",1890,Peder Severin Krøyer,KMS1435,"A Street in Torello, Italy"
KMS359,1820,"canvas,oil,landscape art",1838,Christen Købke,KMS359,A View of Lake Sortedam from Dosseringen Looking towards the Suburb Nørrebro outside Copenhagen
KMSsp122,1660,"canvas,oil,mythological painting",1678,Girolamo Troppa,KMSsp122,Mercury Killing Argus
KMS7116,1720,"canvas,oil",1737,Carl Marcus Tuscher,KMS7116,A Family Group on a Terrace in the Grounds of a Villa. Possibly the English Businessman George Jackson and his Family
KMS6340,1880,"canvas,oil",1892,Theodor Philipsen,KMS6340,Cattle Seen against the Sun on the Island of Saltholm
KMS608,1820,"canvas,oil,marine art",1828,Christoffer Wilhelm Eckersberg,KMS608,"The Russian Ship of the Line ""Asow"" and a Frigate at Anchor in the Roads of Elsinore"
KMS585,1840,"canvas,oil",1848,Anton Melbye,KMS585,En dansk korvet i rum sø efter en storm
KMS1769,1800,"canvas,oil",1813,Christoffer Wilhelm Eckersberg,KMS1769,"Alcyone's Farewell to her Husband. From Ovid's Metamorphoses, Song XI"
KMS414,1840,"canvas,oil",1843,Carl Dahl,KMS414,Lissabons rhed
KMSsp44,1600,"canvas,oil,portrait",1600,Federico Barocci,KMSsp44,Portrait of a Young Lady
KMS3351,1900,"canvas,oil,self-portrait",1911,Vilhelm Hammershøi,KMS3351,"Self-Portrait. The Cottage Spurveskjul at Sorgenfri, North of Copenhagen"
KMS136,1680,"canvas,oil",1688,Nicolas Colombel,KMS136,The Triumph of Galathea
KMSsp476,1680,"canvas,oil,religious art",1682,Jan van Neck,KMSsp476,Susanna and the Elders
KMSst141,1660,"canvas,oil,religious art",1666,Girolamo Troppa,KMSst141,The Apostle John
KMS2071,1820,"canvas,oil",1832,Wilhelm Marstrand,KMS2071,En gadescene i hundedagene
KMS8569,1840,"canvas,oil",1844,Frants Diderik Bøe,KMS8569,"The Garden Steps Leading to the Painter Christen Købke's Studio at Blegdammen, Copenhagen"
KMS1465,1880,"canvas,oil",1893,Gustav Vermehren,KMS1465,En kræsen rad
KMS3198,1620,"canvas,oil,religious art",1620,Jacob Jordaens,KMS3198,"The Tribute Money. Peter Finding the Silver Coin in the Mouth of the Fish. Also called ""The Ferry Boat to Antwerp"""
KMS6469,1760,"canvas,oil,religious art",1761,Johann Wolfgang Baumgartner,KMS6469,The Prodigal Son Living with Harlots
KMSsp365,1620,"canvas,oil,religious art",1620,Hendrick ter Brugghen,KMSsp365,Christ Crowned with Thorns
KMS3847,1640,"canvas,oil,portrait",1655,Frans Hals,KMS3847,Portrait of a man
KMS6346,1820,"canvas,oil,marine art",1832,Christoffer Wilhelm Eckersberg,KMS6346,An American Naval Brig Lying at Anchor while Her Sails Are Drying
KMS506,1840,"canvas,oil",1845,Wilhelm Marstrand,KMS506,Scene from Ludwig Holberg's The Lying-in Room
DEP297,1880,"iron,oil,landscape art",1891,Harald Slott-Møller,DEP297,Danish Landscape
KMS1338,1820,"canvas,oil,portrait",1824,Christian Albrecht Jensen,KMS1338,"Mathias Friis von Irgens-Bergh, chargé d'affaires i Dresden"
KMS732,1840,"canvas,oil",1855,O.D. Ottesen,KMS732,Frugtstykke med en stillids
KMS8007,1880,"canvas,oil,landscape art",1892,Vilhelm Hammershøi,KMS8007,"View of Jægersborg Allé. Gentofte, North of Copenhagen"
KMS1729,1760,"canvas,oil",1766,Jens Juel,KMS1729,A Girl from Holstein
KMS1618,1880,"canvas,oil",1898,J. Bentzen-Bilkvist,KMS1618,"Showery Landscape. Jægerspris, Zealand"
KMS1127,1880,"canvas,oil",1880,Anton Dorph,KMS1127,Hornfiskefangst med drivvod. Tidlig morgen
KMS862,1860,"canvas,oil",1868,Hans Friis,KMS862,"View of  Pårup Moors near Silkeborg, Jutland"
KMS8219,1900,"textile,oil,group portrait",1911,Kristian Zahrtmann,KMS8219,Socrates and Alcibiades
KMS1820,1800,"canvas,oil,nude,female nude",1811,Christoffer Wilhelm Eckersberg,KMS1820,Reclining Female Nude
KMS363,1820,"canvas,oil",1839,P. C. Skovgaard,KMS363,"View of Frederiksværk from Tisvilde Wood, North Zealand"
KMSsp797,1640,"canvas,oil,religious art",1647,Karel van Mander III,KMSsp797,St Peter Repentant
